,index,umap1,umap2,cluster,index,title,href,body,keyword1,keyword2,keyword3,keyword4,keyword5
0,0,13.839084,8.9910755,2,0,Smithsonian Science Education Center and Department of Defense Launch ...,https://www.newswire.com/news/smithsonian-science-education-center-and-department-of-defense-launch-21936896,"WASHINGTON, January 23, 2023 (Newswire.com) - The Smithsonian Science Education Center has published Smithsonian Science for Computational Thinking, a set of freely available instructional units ...","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
1,8,14.300007,9.905348,2,8,"3 winners selected for $10,000 science and literature awards",https://wtop.com/entertainment/2023/01/3-winners-selected-for-10000-science-and-literature-awards/,These deeply engaging works — from stories rooted in science journalism and lived experiences to fictional narratives rich with scientific understanding — demonstrate the many ways in which...,"('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
2,28,14.032332,9.949031,2,28,"3 winners selected for $10,000 science and literature awards",https://abcnews.go.com/Entertainment/wireStory/3-winners-selected-10000-science-literature-awards-96662351,"The Science + Literature program is funded by a 3-year, $525,000 grant from the Sloan Foundation, which over the years has backed such notable books as Kai Birds and Martin J. Sherwins ...","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
3,30,14.295944,10.172869,2,30,The Real Reason McCarthy Put Santos on the Science Committee,https://www.thedailybeast.com/the-real-reason-kevin-mccarthy-put-george-santos-on-the-science-committee,The Real Reason Kevin McCarthy Put George Santos on the Science Committee The New Abnormal The Real Reason McCarthy Put Santos on the Science Committee THE NEW ABNORMAL New Abnormal podcast...,"('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
4,33,14.318715,9.450875,2,33,PHOTOS: SRCS Conversations in Science - Jamaica Information Service,https://jis.gov.jm/photos-srcs-conversations-in-science/,"The Scientific Research Council (SRC) Young Scientist of the Year 2022, Dr. Peter Nelson, addresses the sixth staging of the Conversations in Science Series, held on January 20 at the Chinese Benevolent Association in St. Andrew, under the theme Celebrating the Positive Value Men in Science Bring to the World, their Families and Communities.","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
5,41,14.123434,8.936974,2,41,U.S. Air Force Selects Howard University for Science Research ...,https://www.spaceforce.mil/News/Article/3274925/us-air-force-selects-howard-university-for-science-research-partnership/,"In addition to conducting scientific research, undergraduates attend scientific and skill-set seminars on topics including laboratory safety, ethics in science and engineering, job-search and interviewing skills and resume writing. (U.S. Navy photo by John F. Williams/Released)","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
6,43,14.214352,9.698547,2,43,"ChatGPT lacked depth and insight, say prestigious science journal ...",https://www.zdnet.com/article/chatgpt-lacked-depth-and-insight-say-prestigious-science-journal-editors/,"Barbara Treutlein, left, and Patrick Cahan, guest editors of the prestigious journal Stem Cell Reports, posed questions about computational systems biology to OpenAIs ChatGPT. Sometimes the ...","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
7,45,13.5242815,9.789657,2,45,Big Garden Birdwatch 2023: How to take part in the RSPBs birdwatching ...,https://inews.co.uk/news/science/big-garden-birdwatch-2023-how-take-part-rspb-birdwatching-weekend-dates-explained-2109904,"Now in its 44rd year, the Big Garden Birdwatch is the UKs largest citizen wildlife science project. The information gathered helps the RSPB not only understand which birds are visiting UK skies ...","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
8,49,14.018774,8.717572,2,49,Alaska Marine Science Symposium kicks off with goals of cultivating ...,https://www.alaskasnewssource.com/2023/01/24/alaska-marine-science-symposium-kicks-off-with-goals-cultivating-habitat-discussion/,"ANCHORAGE, Alaska (KTUU) - The Alaska Marine Science Symposium is an event where those invested in Alaskas coastal habitats can all gather and discuss pressing issues in their fields. Monday was opening day at the Denaina Center, and the symposium runs all week, ending Friday. Its a really great way to showcase marine science of all ...","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
9,58,13.899641,9.707463,2,58,52-foot-long Book of the Dead papyrus from ancient Egypt discovered at ...,https://www.livescience.com/ancient-egypt-book-of-the-dead-papyrus-found,"The Book of the Dead is a modern-day name given to a series of texts the Egyptians believed would help the dead navigate the underworld, among other purposes. They were widely used during the New ...","('nasa', 0.3406)","('smithsonian', 0.3292)","('science', 0.3076)","('poultry', 0.2525)","('birdwatch', 0.2488)"
